2026-05-25 06:00:00 DEVICE_START
2026-05-25 06:08:15 TEMP_READING 4.1C
2026-05-25 06:08:24 FAN_SPEED 1483RPM
2026-05-25 06:08:33 HUMIDITY 62%
2026-05-25 06:08:42 VOLTAGE 12.42V
2026-05-25 06:08:51 BATTERY_LEVEL 99.4%
2026-05-25 06:09:00 DOOR_OPEN
2026-05-25 06:09:09 TEMP_READING 4.5C
2026-05-25 06:09:18 FAN_SPEED 1624RPM
2026-05-25 06:09:27 HUMIDITY 58%
2026-05-25 06:09:36 VOLTAGE 12.45V
2026-05-25 06:09:45 BATTERY_LEVEL 99.3%
2026-05-25 06:09:54 TEMP_READING 4.7C
2026-05-25 06:10:03 DOOR_CLOSE
2026-05-25 06:10:12 COOLING_RECOVERY_START
2026-05-25 06:10:21 FAN_SPEED 1756RPM
2026-05-25 06:10:30 HUMIDITY 61%
2026-05-25 06:10:39 VOLTAGE 12.43V
2026-05-25 06:10:48 BATTERY_LEVEL 99.3%
2026-05-25 06:10:57 TEMP_READING 4.8C
2026-05-25 06:11:06 TEMP_READING 4.6C
2026-05-25 06:11:15 FAN_SPEED 1689RPM
2026-05-25 06:11:24 HUMIDITY 63%
2026-05-25 06:11:33 VOLTAGE 12.44V
2026-05-25 06:11:42 BATTERY_LEVEL 99.2%
2026-05-25 06:11:51 TEMP_READING 4.4C
2026-05-25 06:12:00 TEMP_READING 4.3C
2026-05-25 06:12:09 FAN_SPEED 1545RPM
2026-05-25 06:12:18 HUMIDITY 64%
2026-05-25 06:12:27 VOLTAGE 12.42V
2026-05-25 06:12:36 BATTERY_LEVEL 99.2%
2026-05-25 06:12:45 TEMP_READING 4.2C
2026-05-25 06:12:54 TEMP_READING 4.1C
2026-05-25 06:13:03 FAN_SPEED 1489RPM
2026-05-25 06:13:12 HUMIDITY 65%
2026-05-25 06:13:21 VOLTAGE 12.45V
2026-05-25 06:13:30 BATTERY_LEVEL 99.1%
2026-05-25 06:13:39 TEMP_READING 4.3C
2026-05-25 06:13:48 TEMP_READING 4.2C
2026-05-25 06:13:57 FAN_SPEED 1476RPM
2026-05-25 06:14:06 HUMIDITY 63%
2026-05-25 06:14:15 VOLTAGE 12.43V
2026-05-25 06:14:24 BATTERY_LEVEL 99.1%
2026-05-25 06:14:33 TEMP_READING 4.4C
2026-05-25 06:14:42 TEMP_READING 4.2C
2026-05-25 06:14:51 FAN_SPEED 1492RPM
2026-05-25 06:15:00 HUMIDITY 64%
2026-05-25 06:15:09 VOLTAGE 12.44V
2026-05-25 06:15:18 BATTERY_LEVEL 99.0%
2026-05-25 06:15:27 TEMP_READING 4.3C
2026-05-25 06:15:36 TEMP_READING 4.1C
2026-05-25 06:15:45 FAN_SPEED 1485RPM
2026-05-25 06:15:54 HUMIDITY 62%
2026-05-25 06:16:03 VOLTAGE 12.42V
2026-05-25 06:16:12 BATTERY_LEVEL 99.0%
2026-05-25 06:16:21 TEMP_READING 4.4C
2026-05-25 06:16:30 TEMP_READING 4.2C
2026-05-25 06:16:39 FAN_SPEED 1478RPM
2026-05-25 06:16:48 HUMIDITY 66%
2026-05-25 06:16:57 VOLTAGE 12.45V
2026-05-25 06:17:06 BATTERY_LEVEL 98.9%
2026-05-25 06:17:15 TEMP_READING 4.3C
2026-05-25 06:17:24 TEMP_READING 4.1C
2026-05-25 06:17:33 FAN_SPEED 1491RPM
2026-05-25 06:17:42 HUMIDITY 64%
2026-05-25 06:17:51 VOLTAGE 12.43V
2026-05-25 06:18:00 BATTERY_LEVEL 98.9%
2026-05-25 06:18:09 TEMP_READING 4.4C
2026-05-25 06:18:18 TEMP_READING 4.2C
2026-05-25 06:18:27 FAN_SPEED 1486RPM
2026-05-25 06:18:36 HUMIDITY 63%
2026-05-25 06:18:45 VOLTAGE 12.44V
2026-05-25 06:18:54 BATTERY_LEVEL 98.8%
2026-05-25 06:19:03 TEMP_READING 4.3C
2026-05-25 06:19:12 TEMP_READING 4.1C
2026-05-25 06:19:21 FAN_SPEED 1479RPM
2026-05-25 06:19:30 HUMIDITY 65%
2026-05-25 06:19:39 VOLTAGE 12.42V
2026-05-25 06:19:48 BATTERY_LEVEL 98.8%
2026-05-25 06:19:57 TEMP_READING 4.4C
2026-05-25 06:20:06 TEMP_READING 4.2C
2026-05-25 06:20:15 FAN_SPEED 1493RPM
2026-05-25 06:20:24 HUMIDITY 64%
2026-05-25 06:20:33 VOLTAGE 12.45V
2026-05-25 06:20:42 BATTERY_LEVEL 98.7%
2026-05-25 06:20:51 TEMP_READING 4.3C
2026-05-25 06:21:00 TEMP_READING 4.1C
2026-05-25 06:21:09 FAN_SPEED 1487RPM
2026-05-25 06:21:18 HUMIDITY 62%
2026-05-25 06:21:27 VOLTAGE 12.43V
2026-05-25 06:21:36 BATTERY_LEVEL 98.7%
2026-05-25 06:21:45 TEMP_READING 4.4C
2026-05-25 06:21:54 TEMP_READING 4.2C
2026-05-25 06:22:03 FAN_SPEED 1480RPM
2026-05-25 06:22:12 HUMIDITY 66%
2026-05-25 06:22:21 VOLTAGE 12.44V
2026-05-25 06:22:30 BATTERY_LEVEL 98.6%
2026-05-25 06:22:39 TEMP_READING 4.3C
2026-05-25 06:22:48 TEMP_READING 4.1C
2026-05-25 06:22:57 FAN_SPEED 1494RPM
2026-05-25 06:23:06 HUMIDITY 64%
2026-05-25 06:23:15 VOLTAGE 12.42V
2026-05-25 06:23:24 BATTERY_LEVEL 98.6%
2026-05-25 06:23:33 TEMP_READING 4.4C
2026-05-25 06:23:42 TEMP_READING 4.2C
2026-05-25 06:23:51 FAN_SPEED 1488RPM
2026-05-25 06:24:00 HUMIDITY 63%
2026-05-25 06:24:09 VOLTAGE 12.45V
2026-05-25 06:24:18 BATTERY_LEVEL 98.5%
2026-05-25 06:24:27 TEMP_READING 4.3C
2026-05-25 06:24:36 TEMP_READING 4.1C
2026-05-25 06:24:45 FAN_SPEED 1481RPM
2026-05-25 06:24:54 HUMIDITY 65%
2026-05-25 06:25:03 VOLTAGE 12.43V
2026-05-25 06:25:12 BATTERY_LEVEL 98.5%
2026-05-25 06:25:21 TEMP_READING 4.4C
2026-05-25 06:25:30 TEMP_READING 4.2C
2026-05-25 06:25:39 FAN_SPEED 1495RPM
2026-05-25 06:25:48 HUMIDITY 64%
2026-05-25 06:25:57 VOLTAGE 12.44V
2026-05-25 06:26:06 BATTERY_LEVEL 98.4%
2026-05-25 06:26:15 TEMP_READING 4.3C
2026-05-25 06:26:24 TEMP_READING 4.1C
2026-05-25 06:26:33 FAN_SPEED 1489RPM
2026-05-25 06:26:42 HUMIDITY 62%
2026-05-25 06:26:51 VOLTAGE 12.42V
2026-05-25 06:27:00 BATTERY_LEVEL 98.4%
2026-05-25 06:27:09 TEMP_READING 4.4C
2026-05-25 06:27:18 TEMP_READING 4.2C
2026-05-25 06:27:27 FAN_SPEED 1482RPM
2026-05-25 06:27:36 HUMIDITY 66%
2026-05-25 06:27:45 VOLTAGE 12.45V
2026-05-25 06:27:54 BATTERY_LEVEL 98.3%
2026-05-25 06:28:03 TEMP_READING 4.3C
2026-05-25 06:28:12 TEMP_READING 4.1C
2026-05-25 06:28:21 FAN_SPEED 1496RPM
2026-05-25 06:28:30 HUMIDITY 64%
2026-05-25 06:28:39 VOLTAGE 12.43V
2026-05-25 06:28:48 BATTERY_LEVEL 98.3%
2026-05-25 06:28:57 TEMP_READING 4.4C
2026-05-25 06:29:06 TEMP_READING 4.2C
2026-05-25 06:29:15 FAN_SPEED 1490RPM
2026-05-25 06:29:24 HUMIDITY 63%
2026-05-25 06:29:33 VOLTAGE 12.44V
2026-05-25 06:29:42 BATTERY_LEVEL 98.2%
2026-05-25 06:29:51 TEMP_READING 4.3C
2026-05-25 06:30:00 TEMP_READING 4.1C
2026-05-25 06:30:09 FAN_SPEED 1483RPM
2026-05-25 06:30:18 HUMIDITY 65%
2026-05-25 06:30:27 VOLTAGE 12.42V
2026-05-25 06:30:36 BATTERY_LEVEL 98.2%
2026-05-25 06:30:45 TEMP_READING 4.4C
2026-05-25 06:30:54 TEMP_READING 4.2C
2026-05-25 06:31:03 FAN_SPEED 1497RPM
2026-05-25 06:31:12 HUMIDITY 64%
2026-05-25 06:31:21 VOLTAGE 12.45V
2026-05-25 06:31:30 BATTERY_LEVEL 98.1%
2026-05-25 06:31:39 TEMP_READING 4.3C
2026-05-25 06:31:48 TEMP_READING 4.1C
2026-05-25 06:31:57 FAN_SPEED 1491RPM
2026-05-25 06:32:06 HUMIDITY 62%
2026-05-25 06:32:15 VOLTAGE 12.43V
2026-05-25 06:32:24 BATTERY_LEVEL 98.1%
2026-05-25 06:32:33 TEMP_READING 4.4C
2026-05-25 06:32:42 TEMP_READING 4.2C
2026-05-25 06:32:51 FAN_SPEED 1484RPM
2026-05-25 06:33:00 HUMIDITY 66%
2026-05-25 06:33:09 VOLTAGE 12.44V
2026-05-25 06:33:18 BATTERY_LEVEL 98.0%
2026-05-25 06:33:27 TEMP_READING 4.3C
2026-05-25 06:33:36 TEMP_READING 4.1C
2026-05-25 06:33:45 FAN_SPEED 1498RPM
2026-05-25 06:33:54 HUMIDITY 64%
2026-05-25 06:34:03 VOLTAGE 12.42V
2026-05-25 06:34:12 BATTERY_LEVEL 98.0%
2026-05-25 06:34:21 TEMP_READING 4.4C
2026-05-25 06:34:30 TEMP_READING 4.2C
2026-05-25 06:34:39 FAN_SPEED 1492RPM
2026-05-25 06:34:48 HUMIDITY 63%
2026-05-25 06:34:57 VOLTAGE 12.45V
2026-05-25 06:35:06 BATTERY_LEVEL 97.9%
2026-05-25 06:35:15 TEMP_READING 4.3C
2026-05-25 06:35:24 TEMP_READING 4.1C
2026-05-25 06:35:33 FAN_SPEED 1485RPM
2026-05-25 06:35:42 HUMIDITY 65%
2026-05-25 06:35:51 VOLTAGE 12.43V
2026-05-25 06:36:00 BATTERY_LEVEL 97.9%
2026-05-25 06:36:09 TEMP_READING 4.4C
2026-05-25 06:36:18 TEMP_READING 4.2C
2026-05-25 06:36:27 FAN_SPEED 1499RPM
2026-05-25 06:36:36 HUMIDITY 64%
2026-05-25 06:36:45 VOLTAGE 12.44V
2026-05-25 06:36:54 BATTERY_LEVEL 97.8%
2026-05-25 06:37:03 TEMP_READING 4.3C
2026-05-25 06:37:12 TEMP_READING 4.1C
2026-05-25 06:37:21 FAN_SPEED 1493RPM
2026-05-25 06:37:30 HUMIDITY 62%
2026-05-25 06:37:39 VOLTAGE 12.42V
2026-05-25 06:37:48 BATTERY_LEVEL 97.8%
2026-05-25 06:37:57 TEMP_READING 4.4C
2026-05-25 06:38:06 TEMP_READING 4.2C
2026-05-25 06:38:15 FAN_SPEED 1486RPM
2026-05-25 06:38:24 HUMIDITY 66%
2026-05-25 06:38:33 VOLTAGE 12.45V
2026-05-25 06:38:42 BATTERY_LEVEL 97.7%
2026-05-25 06:38:51 TEMP_READING 4.3C
2026-05-25 06:39:00 TEMP_READING 4.1C
2026-05-25 06:39:09 FAN_SPEED 1500RPM
2026-05-25 06:39:18 HUMIDITY 64%
2026-05-25 06:39:27 VOLTAGE 12.43V
2026-05-25 06:39:36 BATTERY_LEVEL 97.7%
2026-05-25 06:39:45 TEMP_READING 4.4C
2026-05-25 06:39:54 TEMP_READING 4.2C
2026-05-25 06:40:03 FAN_SPEED 1494RPM
2026-05-25 06:40:12 HUMIDITY 63%
2026-05-25 06:40:21 VOLTAGE 12.44V
2026-05-25 06:40:30 BATTERY_LEVEL 97.6%
2026-05-25 06:40:39 TEMP_READING 4.3C
2026-05-25 06:40:48 TEMP_READING 4.1C
2026-05-25 06:40:57 FAN_SPEED 1487RPM
2026-05-25 06:41:06 HUMIDITY 65%
2026-05-25 06:41:15 VOLTAGE 12.42V
2026-05-25 06:41:24 BATTERY_LEVEL 97.6%
2026-05-25 06:41:33 TEMP_READING 4.4C
2026-05-25 06:41:42 TEMP_READING 4.2C
2026-05-25 06:41:51 FAN_SPEED 1501RPM
2026-05-25 06:42:00 HUMIDITY 64%
2026-05-25 06:42:09 VOLTAGE 12.45V
2026-05-25 06:42:18 BATTERY_LEVEL 97.5%
2026-05-25 06:42:27 TEMP_READING 4.3C
2026-05-25 06:42:36 TEMP_READING 4.1C
2026-05-25 06:42:45 FAN_SPEED 1495RPM
2026-05-25 06:42:54 HUMIDITY 62%
2026-05-25 06:43:03 VOLTAGE 12.43V
2026-05-25 06:43:12 BATTERY_LEVEL 97.5%
2026-05-25 06:43:21 TEMP_READING 4.4C
2026-05-25 06:43:30 TEMP_READING 4.2C
2026-05-25 06:43:39 FAN_SPEED 1488RPM
2026-05-25 06:43:48 HUMIDITY 66%
2026-05-25 06:43:57 VOLTAGE 12.44V
2026-05-25 06:44:06 BATTERY_LEVEL 97.4%
2026-05-25 06:44:15 TEMP_READING 4.3C
2026-05-25 06:44:24 TEMP_READING 4.1C
2026-05-25 06:44:33 FAN_SPEED 1502RPM
2026-05-25 06:44:42 HUMIDITY 64%
2026-05-25 06:44:51 VOLTAGE 12.42V
2026-05-25 06:45:00 BATTERY_LEVEL 97.4%
2026-05-25 06:45:09 TEMP_READING 4.4C
2026-05-25 06:45:18 TEMP_READING 4.2C
2026-05-25 06:45:27 FAN_SPEED 1496RPM
2026-05-25 06:45:36 HUMIDITY 63%
2026-05-25 06:45:45 VOLTAGE 12.45V
2026-05-25 06:45:54 BATTERY_LEVEL 97.3%
2026-05-25 06:46:03 TEMP_READING 4.3C
2026-05-25 06:46:12 TEMP_READING 4.1C
2026-05-25 06:46:21 FAN_SPEED 1489RPM
2026-05-25 06:46:30 HUMIDITY 65%
2026-05-25 06:46:39 VOLTAGE 12.43V
2026-05-25 06:46:48 BATTERY_LEVEL 97.3%
2026-05-25 06:46:57 TEMP_READING 4.4C
2026-05-25 06:47:06 TEMP_READING 4.2C
2026-05-25 06:47:15 FAN_SPEED 1503RPM
2026-05-25 06:47:24 HUMIDITY 64%
2026-05-25 06:47:33 VOLTAGE 12.44V
2026-05-25 06:47:42 BATTERY_LEVEL 97.2%
2026-05-25 06:47:51 TEMP_READING 4.3C
2026-05-25 06:48:00 TEMP_READING 4.1C
2026-05-25 06:48:09 FAN_SPEED 1497RPM
2026-05-25 06:48:18 HUMIDITY 62%
2026-05-25 06:48:27 VOLTAGE 12.42V
2026-05-25 06:48:36 BATTERY_LEVEL 97.2%
2026-05-25 06:48:45 TEMP_READING 4.4C
2026-05-25 06:48:54 TEMP_READING 4.2C
2026-05-25 06:49:03 FAN_SPEED 1490RPM
2026-05-25 06:49:12 HUMIDITY 66%
2026-05-25 06:49:21 VOLTAGE 12.45V
2026-05-25 06:49:30 BATTERY_LEVEL 97.1%
2026-05-25 06:49:39 TEMP_READING 4.3C
2026-05-25 06:49:48 TEMP_READING 4.1C
2026-05-25 06:49:57 FAN_SPEED 1504RPM
2026-05-25 06:50:06 HUMIDITY 64%
2026-05-25 06:50:15 VOLTAGE 12.43V
2026-05-25 06:50:24 BATTERY_LEVEL 97.1%
2026-05-25 06:50:33 TEMP_READING 4.4C
2026-05-25 06:50:42 TEMP_READING 4.2C
2026-05-25 06:50:51 FAN_SPEED 1498RPM
2026-05-25 06:51:00 HUMIDITY 63%
2026-05-25 06:51:09 VOLTAGE 12.44V
2026-05-25 06:51:18 BATTERY_LEVEL 97.0%
2026-05-25 06:51:27 TEMP_READING 4.3C
2026-05-25 06:51:36 TEMP_READING 4.1C
2026-05-25 06:51:45 FAN_SPEED 1491RPM
2026-05-25 06:51:54 HUMIDITY 65%
2026-05-25 06:52:03 VOLTAGE 12.42V
2026-05-25 06:52:12 BATTERY_LEVEL 97.0%
2026-05-25 06:52:21 TEMP_READING 4.4C
2026-05-25 06:52:30 TEMP_READING 4.2C
2026-05-25 06:52:39 FAN_SPEED 1505RPM
2026-05-25 06:52:48 HUMIDITY 64%
2026-05-25 06:52:57 VOLTAGE 12.45V
2026-05-25 06:53:06 BATTERY_LEVEL 96.9%
2026-05-25 06:53:15 TEMP_READING 4.3C
2026-05-25 06:53:24 TEMP_READING 4.1C
2026-05-25 06:53:33 FAN_SPEED 1499RPM
2026-05-25 06:53:42 HUMIDITY 62%
2026-05-25 06:53:51 VOLTAGE 12.43V
2026-05-25 06:54:00 BATTERY_LEVEL 96.9%
2026-05-25 06:54:09 TEMP_READING 4.4C
2026-05-25 06:54:18 TEMP_READING 4.2C
2026-05-25 06:54:27 FAN_SPEED 1492RPM
2026-05-25 06:54:36 HUMIDITY 66%
2026-05-25 06:54:45 VOLTAGE 12.44V
2026-05-25 06:54:54 BATTERY_LEVEL 96.8%
2026-05-25 06:55:03 TEMP_READING 4.3C
2026-05-25 06:55:12 TEMP_READING 4.1C
2026-05-25 06:55:21 FAN_SPEED 1506RPM
2026-05-25 06:55:30 HUMIDITY 64%
2026-05-25 06:55:39 VOLTAGE 12.42V
2026-05-25 06:55:48 BATTERY_LEVEL 96.8%
2026-05-25 06:55:57 TEMP_READING 4.4C
2026-05-25 06:56:06 TEMP_READING 4.2C
2026-05-25 06:56:15 FAN_SPEED 1500RPM
2026-05-25 06:56:24 HUMIDITY 63%
2026-05-25 06:56:33 VOLTAGE 12.45V
2026-05-25 06:56:42 BATTERY_LEVEL 96.7%
2026-05-25 06:56:51 TEMP_READING 4.3C
2026-05-25 06:57:00 TEMP_READING 4.1C
2026-05-25 06:57:09 FAN_SPEED 1493RPM
2026-05-25 06:57:18 HUMIDITY 65%
2026-05-25 06:57:27 VOLTAGE 12.43V
2026-05-25 06:57:36 BATTERY_LEVEL 96.7%
2026-05-25 06:57:45 TEMP_READING 4.4C
2026-05-25 06:57:54 TEMP_READING 4.2C
2026-05-25 06:58:03 FAN_SPEED 1507RPM
2026-05-25 06:58:12 HUMIDITY 64%
2026-05-25 06:58:21 VOLTAGE 12.44V
2026-05-25 06:58:30 BATTERY_LEVEL 96.6%
2026-05-25 06:58:39 TEMP_READING 4.3C
2026-05-25 06:58:48 TEMP_READING 4.1C
2026-05-25 06:58:57 FAN_SPEED 1501RPM
2026-05-25 06:59:06 HUMIDITY 62%
2026-05-25 06:59:15 VOLTAGE 12.42V
2026-05-25 06:59:24 BATTERY_LEVEL 96.6%
2026-05-25 06:59:33 TEMP_READING 4.4C
2026-05-25 06:59:42 TEMP_READING 4.2C
2026-05-25 06:59:51 FAN_SPEED 1494RPM
2026-05-25 07:00:00 HUMIDITY 66%
2026-05-25 07:00:09 VOLTAGE 12.45V
2026-05-25 07:00:18 BATTERY_LEVEL 96.5%
2026-05-25 07:00:27 TEMP_READING 4.3C
2026-05-25 07:00:36 TEMP_READING 4.1C
2026-05-25 07:00:45 FAN_SPEED 1508RPM
2026-05-25 07:00:54 HUMIDITY 64%
2026-05-25 07:01:03 VOLTAGE 12.43V
2026-05-25 07:01:12 BATTERY_LEVEL 96.5%
2026-05-25 07:01:21 TEMP_READING 4.4C
2026-05-25 07:01:30 TEMP_READING 4.2C
2026-05-25 07:01:39 FAN_SPEED 1502RPM
2026-05-25 07:01:48 HUMIDITY 63%
2026-05-25 07:01:57 VOLTAGE 12.44V
2026-05-25 07:02:06 BATTERY_LEVEL 96.4%
2026-05-25 07:02:15 TEMP_READING 4.3C
2026-05-25 07:02:24 TEMP_READING 4.1C
2026-05-25 07:02:33 FAN_SPEED 1495RPM
2026-05-25 07:02:42 HUMIDITY 65%
2026-05-25 07:02:51 VOLTAGE 12.42V
2026-05-25 07:03:00 BATTERY_LEVEL 96.4%
2026-05-25 07:03:09 TEMP_READING 4.4C
2026-05-25 07:03:18 TEMP_READING 4.2C
2026-05-25 07:03:27 FAN_SPEED 1509RPM
2026-05-25 07:03:36 HUMIDITY 64%
2026-05-25 07:03:45 VOLTAGE 12.45V
2026-05-25 07:03:54 BATTERY_LEVEL 96.3%
2026-05-25 07:04:03 TEMP_READING 4.3C
2026-05-25 07:04:12 TEMP_READING 4.1C
2026-05-25 07:04:21 FAN_SPEED 1503RPM
2026-05-25 07:04:30 HUMIDITY 62%
2026-05-25 07:04:39 VOLTAGE 12.43V
2026-05-25 07:04:48 BATTERY_LEVEL 96.3%
2026-05-25 07:04:57 TEMP_READING 4.4C
2026-05-25 07:05:06 TEMP_READING 4.2C
2026-05-25 07:05:15 FAN_SPEED 1496RPM
2026-05-25 07:05:24 HUMIDITY 66%
2026-05-25 07:05:33 VOLTAGE 12.44V
2026-05-25 07:05:42 BATTERY_LEVEL 96.2%
2026-05-25 07:05:51 TEMP_READING 4.3C
2026-05-25 07:06:00 TEMP_READING 4.1C
2026-05-25 07:06:09 FAN_SPEED 1510RPM
2026-05-25 07:06:18 HUMIDITY 64%
2026-05-25 07:06:27 VOLTAGE 12.43V
2026-05-25 07:06:36 BATTERY_LEVEL 96.2%
2026-05-25 07:06:45 TEMP_READING 4.4C
2026-05-25 07:06:54 TEMP_READING 4.2C
2026-05-25 07:07:03 FAN_SPEED 1504RPM
2026-05-25 07:07:12 HUMIDITY 63%
2026-05-25 07:07:21 VOLTAGE 12.45V
2026-05-25 07:07:30 BATTERY_LEVEL 96.1%
2026-05-25 07:07:39 TEMP_READING 4.3C
2026-05-25 07:07:48 TEMP_READING 4.1C
2026-05-25 07:07:57 FAN_SPEED 1497RPM
2026-05-25 07:08:06 HUMIDITY 65%
2026-05-25 07:08:15 VOLTAGE 12.42V
2026-05-25 07:08:24 BATTERY_LEVEL 96.1%
2026-05-25 07:08:33 TEMP_READING 4.4C
2026-05-25 07:08:42 TEMP_READING 4.2C
2026-05-25 07:08:51 FAN_SPEED 1511RPM
2026-05-25 07:09:00 HUMIDITY 64%
2026-05-25 07:09:09 VOLTAGE 12.43V
2026-05-25 07:09:18 BATTERY_LEVEL 96.0%
2026-05-25 07:09:27 TEMP_READING 4.3C
2026-05-25 07:09:36 TEMP_READING 4.1C
2026-05-25 07:09:45 FAN_SPEED 1505RPM
2026-05-25 07:09:54 HUMIDITY 62%
2026-05-25 07:10:03 VOLTAGE 12.42V
2026-05-25 07:10:12 BATTERY_LEVEL 96.0%
2026-05-25 07:10:21 TEMP_READING 4.4C
2026-05-25 07:10:30 TEMP_READING 4.2C
2026-05-25 07:10:39 FAN_SPEED 1498RPM
2026-05-25 07:10:48 HUMIDITY 66%
2026-05-25 07:10:57 VOLTAGE 12.44V
2026-05-25 07:11:06 BATTERY_LEVEL 95.9%
2026-05-25 07:11:15 TEMP_READING 4.3C
2026-05-25 07:11:24 TEMP_READING 4.1C
2026-05-25 07:11:33 FAN_SPEED 1512RPM
2026-05-25 07:11:42 HUMIDITY 64%
2026-05-25 07:11:51 VOLTAGE 12.43V
2026-05-25 07:12:00 BATTERY_LEVEL 95.9%
2026-05-25 07:12:09 TEMP_READING 4.4C
2026-05-25 07:12:18 TEMP_READING 4.2C
2026-05-25 07:12:27 FAN_SPEED 1506RPM
2026-05-25 07:12:36 HUMIDITY 63%
2026-05-25 07:12:45 VOLTAGE 12.45V
2026-05-25 07:12:54 BATTERY_LEVEL 95.8%
2026-05-25 07:13:03 TEMP_READING 4.3C
2026-05-25 07:13:12 TEMP_READING 4.1C
2026-05-25 07:13:21 FAN_SPEED 1499RPM
2026-05-25 07:13:30 HUMIDITY 65%
2026-05-25 07:13:39 VOLTAGE 12.42V
2026-05-25 07:13:48 BATTERY_LEVEL 95.8%
2026-05-25 07:13:57 TEMP_READING 4.4C
2026-05-25 07:14:06 TEMP_READING 4.2C
2026-05-25 07:14:15 FAN_SPEED 1513RPM
2026-05-25 07:14:24 HUMIDITY 64%
2026-05-25 07:14:33 VOLTAGE 12.43V
2026-05-25 07:14:42 BATTERY_LEVEL 95.7%
2026-05-25 07:14:51 TEMP_READING 4.3C
2026-05-25 07:15:00 TEMP_READING 4.1C
2026-05-25 07:15:09 FAN_SPEED 1507RPM
2026-05-25 07:15:18 HUMIDITY 62%
2026-05-25 07:15:27 VOLTAGE 12.43V
2026-05-25 07:15:36 BATTERY_LEVEL 95.7%
2026-05-25 07:15:45 TEMP_READING 4.4C
2026-05-25 07:15:54 TEMP_READING 4.2C
2026-05-25 07:16:03 FAN_SPEED 1500RPM
2026-05-25 07:16:12 HUMIDITY 66%
2026-05-25 07:16:21 VOLTAGE 12.44V
2026-05-25 07:16:30 BATTERY_LEVEL 95.6%
2026-05-25 07:16:39 TEMP_READING 4.3C
2026-05-25 07:16:48 TEMP_READING 4.1C
2026-05-25 07:16:57 FAN_SPEED 1514RPM
2026-05-25 07:17:06 HUMIDITY 64%
2026-05-25 07:17:15 VOLTAGE 12.43V
2026-05-25 07:17:24 BATTERY_LEVEL 95.6%
2026-05-25 07:17:33 TEMP_READING 4.4C
2026-05-25 07:17:42 TEMP_READING 4.2C
2026-05-25 07:17:51 FAN_SPEED 1508RPM
2026-05-25 07:18:00 HUMIDITY 63%
2026-05-25 07:18:09 VOLTAGE 12.45V
2026-05-25 07:18:18 BATTERY_LEVEL 95.5%
2026-05-25 07:18:27 TEMP_READING 4.3C
